Data Inflasi;Data Inflasi;Data Inflasi;Data Inflasi
;;;
No;Periode;Data Inflasi;
1;September 2021;1.6 %;
2;Agustus 2021;1.59 %;
3;Juli 2021;1.52 %;
4;Juni 2021;1.33 %;
5;Mei 2021;1.68 %;
6;April 2021;1.42 %;
7;Maret 2021;1.37 %;
8;Februari 2021;1.38 %;
9;Januari 2021;1.55 %;
10;Desember 2020;1.68 %;
11;November 2020;1.59 %;
12;Oktober 2020;1.44 %;
13;September 2020;1.42 %;
14;Agustus 2020;1.32 %;
15;Juli 2020;1.54 %;
16;Juni 2020;1.96 %;
17;Mei 2020;2.19 %;
18;April 2020;2.67 %;
19;Maret 2020;2.96 %;
20;Februari 2020;2.98 %;
21;Januari 2020;2.68 %;
22;Desember 2019;2.72 %;
23;November 2019;3 %;
24;Oktober 2019;3.13 %;
25;September 2019;3.39 %;
26;Agustus 2019;3.49 %;
27;Juli 2019;3.32 %;
28;Juni 2019;3.28 %;
29;Mei 2019;3.32 %;
30;April 2019;2.83 %;
31;Maret 2019;2.48 %;
32;Februari 2019;2.57 %;
33;Januari 2019;2.82 %;
34;Desember 2018;3.13 %;
35;November 2018;3.23 %;
36;Oktober 2018;3.16 %;
37;September 2018;2.88 %;
38;Agustus 2018;3.2 %;
39;Juli 2018;3.18 %;
40;Juni 2018;3.12 %;
41;Mei 2018;3.23 %;
42;April 2018;3.41 %;
43;Maret 2018;3.4 %;
44;Februari 2018;3.18 %;
45;Januari 2018;3.25 %;
46;Desember 2017;3.61 %;
47;November 2017;3.3 %;
48;Oktober 2017;3.58 %;
49;September 2017;3.72 %;
50;Agustus 2017;3.82 %;
51;Juli 2017;3.88 %;
52;Juni 2017;4.37 %;
53;Mei 2017;4.33 %;
54;April 2017;4.17 %;
55;Maret 2017;3.61 %;
56;Februari 2017;3.83 %;
57;Januari 2017;3.49 %;
58;Desember 2016;3.02 %;
59;November 2016;3.58 %;
60;Oktober 2016;3.31 %;
61;September 2016;3.07 %;
62;Agustus 2016;2.79 %;
63;Juli 2016;3.21 %;
64;Juni 2016;3.45 %;
65;Mei 2016;3.33 %;
66;April 2016;3.6 %;
67;Maret 2016;4.45 %;
68;Februari 2016;4.42 %;
69;Januari 2016;4.14 %;
70;Desember 2015;3.35 %;
71;November 2015;4.89 %;
72;Oktober 2015;6.25 %;
73;September 2015;6.83 %;
74;Agustus 2015;7.18 %;
75;Juli 2015;7.26 %;
76;Juni 2015;7.26 %;
77;Mei 2015;7.15 %;
78;April 2015;6.79 %;
79;Maret 2015;6.38 %;
80;Februari 2015;6.29 %;
81;Januari 2015;6.96 %;
82;Desember 2014;8.36 %;
83;November 2014;6.23 %;
84;Oktober 2014;4.83 %;
85;September 2014;4.53 %;
86;Agustus 2014;3.99 %;
87;Juli 2014;4.53 %;
88;Juni 2014;6.7 %;
89;Mei 2014;7.32 %;
90;April 2014;7.25 %;
91;Maret 2014;7.32 %;
92;Februari 2014;7.75 %;
93;Januari 2014;8.22 %;
94;Desember 2013;8.38 %;
95;November 2013;8.37 %;
96;Oktober 2013;8.32 %;
97;September 2013;8.4 %;
98;Agustus 2013;8.79 %;
99;Juli 2013;8.61 %;
100;Juni 2013;5.9 %;
101;Mei 2013;5.47 %;
102;April 2013;5.57 %;
103;Maret 2013;5.9 %;
104;Februari 2013;5.31 %;
105;Januari 2013;4.57 %;
106;Desember 2012;4.3 %;
107;November 2012;4.32 %;
108;Oktober 2012;4.61 %;
109;September 2012;4.31 %;
110;Agustus 2012;4.58 %;
111;Juli 2012;4.56 %;
112;Juni 2012;4.53 %;
113;Mei 2012;4.45 %;
114;April 2012;4.5 %;
115;Maret 2012;3.97 %;
116;Februari 2012;3.56 %;
117;Januari 2012;3.65 %;
118;Desember 2011;3.79 %;
119;November 2011;4.15 %;
120;Oktober 2011;4.42 %;
121;September 2011;4.61 %;
122;Agustus 2011;4.79 %;
123;Juli 2011;4.61 %;
124;Juni 2011;5.54 %;
125;Mei 2011;5.98 %;
126;April 2011;6.16 %;
127;Maret 2011;6.65 %;
128;Februari 2011;6.84 %;
129;Januari 2011;7.02 %;
130;Desember 2010;6.96 %;
131;November 2010;6.33 %;
132;Oktober 2010;5.67 %;
133;September 2010;5.8 %;
134;Agustus 2010;6.44 %;
135;Juli 2010;6.22 %;
136;Juni 2010;5.05 %;
137;Mei 2010;4.16 %;
138;April 2010;3.91 %;
139;Maret 2010;3.43 %;
140;Februari 2010;3.81 %;
141;Januari 2010;3.72 %;
142;Desember 2009;2.78 %;
143;November 2009;2.41 %;
144;Oktober 2009;2.57 %;
145;September 2009;2.83 %;
146;Agustus 2009;2.75 %;
147;Juli 2009;2.71 %;
148;Juni 2009;3.65 %;
149;Mei 2009;6.04 %;
150;April 2009;7.31 %;
151;Maret 2009;7.92 %;
152;Februari 2009;8.6 %;
153;Januari 2009;9.17 %;
154;Desember 2008;11.06 %;
155;November 2008;11.68 %;
156;Oktober 2008;11.77 %;
157;September 2008;12.14 %;
158;Agustus 2008;11.85 %;
159;Juli 2008;11.9 %;
160;Juni 2008;11.03 %;
161;Mei 2008;10.38 %;
162;April 2008;8.96 %;
163;Maret 2008;8.17 %;
164;Februari 2008;7.4 %;
165;Januari 2008;7.36 %;
166;Desember 2007;6.59 %;
167;November 2007;6.71 %;
168;Oktober 2007;6.88 %;
169;September 2007;6.95 %;
170;Agustus 2007;6.51 %;
171;Juli 2007;6.06 %;
172;Juni 2007;5.77 %;
173;Mei 2007;6.01 %;
174;April 2007;6.29 %;
175;Maret 2007;6.52 %;
176;Februari 2007;6.3 %;
177;Januari 2007;6.26 %;
178;Desember 2006;6.6 %;
179;November 2006;5.27 %;
180;Oktober 2006;6.29 %;
181;September 2006;14.55 %;
182;Agustus 2006;14.9 %;
183;Juli 2006;15.15 %;
184;Juni 2006;15.53 %;
185;Mei 2006;15.6 %;
186;April 2006;15.4 %;
187;Maret 2006;15.74 %;
188;Februari 2006;17.92 %;
189;Januari 2006;17.03 %;
190;Desember 2005;17.11 %;
191;November 2005;18.38 %;
192;Oktober 2005;17.89 %;
193;September 2005;9.06 %;
194;Agustus 2005;8.33 %;
195;Juli 2005;7.84 %;
196;Juni 2005;7.42 %;
197;Mei 2005;7.4 %;
198;April 2005;8.12 %;
199;Maret 2005;8.81 %;
200;Februari 2005;7.15 %;
201;Januari 2005;7.32 %;
202;Desember 2004;6.4 %;
203;November 2004;6.18 %;
204;Oktober 2004;6.22 %;
205;September 2004;6.27 %;
206;Agustus 2004;6.67 %;
207;Juli 2004;7.2 %;
208;Juni 2004;6.83 %;
209;Mei 2004;6.47 %;
210;April 2004;5.92 %;
211;Maret 2004;5.11 %;
212;Februari 2004;4.6 %;
213;Januari 2004;4.82 %;
214;Desember 2003;5.16 %;
215;November 2003;5.53 %;
216;Oktober 2003;6.48 %;
217;September 2003;6.33 %;
218;Agustus 2003;6.51 %;
219;Juli 2003;6.27 %;
220;Juni 2003;6.98 %;
221;Mei 2003;7.15 %;
222;April 2003;7.62 %;
223;Maret 2003;7.17 %;
224;Februari 2003;7.6 %;
225;Januari 2003;8.68 %;
